id,City,State,Low estimate,Best Guess,High estimate,Source1
27,"Ashland, OR",OR,8000,11150,15000,http://www.oregonlive.com/trending/2017/01/womens_march_oregon_ashland_ph.html
28,"Aspen, CO",CO,200,560,1000,http://www.aspendailynews.com/section/home/174009
29,"Astoria, OR",OR,1300,1435,1600,http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump
30,"Athens, GA",GA,700,2635,5000,http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1
31,"Athens, OH",OH,300,390,500,http://www.athensnews.com/news/local/hundreds-take-to-athens-streets-to-protest-trump-two-party/article_a05f8d96-a9cc-11e6-adc2-afe09ec722c0.html
32,"Atlanta, GA",GA,60000,61350,63000,http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/
33,"Augusta, GA",GA,600,600,600,http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march
34,"Augusta, ME",ME,5000,7250,10000,http://www.pressherald.com/2017/01/21/thousands-converge-on-augusta-for-womens-march-on-maine-rally/
35,"Austin, TX",TX,33000,50550,72000,organizer ran out of stickers after handing out 33k via google form
36,"Avalon, CA",CA,44,44,44,https://twitter.com/lisakate111/status/823018370094071808
37,"Bailey, CO",CO,5,5,5,FB
38,"Bainbridge Island, WA",WA,200,268,350,http://www.bainbridgereview.com/news/march-through-winslow/
39,"Bakersfield, CA",CA,88,119,150,http://bakersfieldnow.com/news/local/local-women-join-millions-more-across-the-nation-for-womens-equality
40,"Baltimore, MD",MD,5000,5000,5000,http://www.baltimoresun.com/news/maryland/bs-md-baltimore-sister-march-20170121-story.html
41,"Bar Harbor, ME",ME,50,53,55,Eyewitness on site
42,"Bandon, OR",OR,70,70,70,FB
43,"Bayfield, WI",WI,427,427,427,FB
44,Beaufort,NC,11,11,11,onsite eyewitness; photograph
45,"Beaumont, TX",TX,300,300,300,FB
46,"Beaver, PA",PA,275,288,300,onsite eyewitness w/ headcount
47,"Beaver Island, MI",MI,18,20,22,Onsite eyewitness; headcount
48,"Bellingham, WA",WA,5000,5450,6000,https://t.co/iyjFHSXHEq
49,"Bemidji, MN",MN,250,363,500,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights
50,"Bend, OR",OR,3000,3900,5000,http://www.bendbulletin.com/home/5002977-151/thousands-in-bend-join-international-womens-march
51,"Bennington, VT",VT,75,100,125,Eyewitness on site
52,"Bentonville, AR",AR,300,435,600,onsite eyewitness; headcount
53,"Berkeley, CA",CA,200,560,1000,http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/
54,"Bethel, AK",AK,40,70,100,https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/
55,"Bethlehem, CT",CT,2,2,2,https://twitter.com/Fontaine6Mary/status/823915255327838211
56,"Bethlehem, PA",PA,500,518,540,http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html
57,"Bettendorf, IA",IA,300,525,800,http://qctimes.com/news/local/hall-overflows-with-women-s-rally-participants/article_03dc35fb-bb39-54b5-bce3-b2c275cafaff.html
58,"Beverly Hills, CA",CA,250,275,300,onsite eyewitness; headcount w photos via google form
59,"Binghamton, NY",NY,2000,2450,3000,FB
60,"Birmingham, AL",AL,5000,7250,10000,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home
61,"Bishop, CA",CA,600,600,600,FB
62,"Bismarck, ND",ND,500,500,500,http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity
63,"Black Mountain, NC",NC,250,318,400,onsite eyewitness / photographer
64,"Block Island, RI",RI,60,70,80,onsite eyewitness took head count via google form
65,"Bloomsburg, PA",PA,40,50,60,https://twitter.com/MzHokie/status/823054470728810496
66,"Bluff, UT",UT,48,48,48,onsite eyewitness with headcount via google form
67,"Boise, ID",ID,5000,5000,5000,http://www.idahostatesman.com/news/local/article127913309.html
68,"Borrego Springs, CA",CA,140,145,150,onsite eyewitness who did headcount
69,"Boston, MA",MA,175000,175000,175000,http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/
70,"Bozeman, MT",MT,13,13,13,https://twitter.com/MadamHerpadurp/status/823031787211235328
71,"Breen, CO",CO,1,1,1,via email (JP)
72,"Bridgewater, MA",MA,12,12,12,http://www.enterprisenews.com/news/20170121/bridgewater-residents-protest-trump---with-peace
73,"Brighton, MI",MI,300,300,300,http://www.livingstondaily.com/story/news/local/2017/01/21/hundreds-rally-brighton-mill-pond/96884294/
74,"Brattleboro, VT",VT,200,225,250,FB
75,"Brookings, OR",OR,250,275,300,organizer headcount onsite
76,"Broomfield, CO",CO,100,150,200,onsite eyewtiness took head count w photo via google form
77,"Brownsville, TX",TX,300,341,390,http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html
78,"Brunswick, ME",ME,300,345,400,Press Herald
79,"Buffalo, NY",NY,2500,2725,3000,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887
80,"Burbank, CA",CA,300,300,300,http://myburbank.com/01/news/womens-march-burbank-brings-families-kids-mothers/
81,"Burns, OR",OR,20,20,20,FB
82,"Burnsville, NC",NC,80,80,80,"onsite eyewitness w photo headcount, via google form"
83,Cambridge,MN,22,22,22,FB
84,"Canton, NY",NY,135,218,300,https://twitter.com/matt_carotenuto/status/823121233659174912
85,"Cape Henlopen, DE",DE,250,250,250,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227
86,"Carbondale, CO",CO,200,425,700,http://www.postindependent.com/priority/main-carousel/women-march-in-colorado-dc-around-world-to-resist-trump/
87,"Carbondale, IL",IL,1000,1900,3000,http://thesouthern.com/news/local/communities/carbondale/hundreds-gather-in-carbondale-to-march-for-human-rights/article_616ca5a9-dd07-57da-9a8e-ee3a9317bd05.html
88,"Carmel, CA",CA,15,20,25,onsite eyewitness headcount w photos via google form
89,"Casper, WY",WY,700,835,1000,https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726
90,"Cathlamet, WA",WA,2,2,2,https://twitter.com/emily_kintigh/status/823942819832172544
91,"Champaign, IL",IL,5000,5360,5800,http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html
92,"Charleston, SC",SC,2000,2000,2000,http://www.postandcourier.com/news/unity-activism-and-empowerment-at-charleston-women-s-march-where/article_34b81c38-dffb-11e6-9c2e-f30b0dc420c4.html
93,"Charleston, WV",WV,2000,2450,3000,http://counton2.com/2017/01/20/womens-march-on-washington-plans-sister-march-in-charleston/
94,"Charlotte, NC",NC,20000,24500,30000,"city police estimate reported to organizers, reported via google form"
95,"Charlottesville, VA",VA,2000,2225,2500,http://www.dailyprogress.com/gallery/charlottesville-women-s-march/collection_1a2a4a98-e006-11e6-9753-7fa6fdc922ca.html
96,"Chattanooga, TN",TN,1000,1900,3000,http://www.timesfreepress.com/news/local/story/2017/jan/21/women-march-chattanooga-protest-trump-election/408743/
97,"Chelan, WA",WA,400,432,470,local media reported via Google form
98,"Chesapeake Bay, MD",MD,1,1,1,FB
99,"Cheyenne, WY",WY,1200,1560,2000,http://www.wyomingnews.com/news/new-large-spirited-crowd-fills-women-s-march-in-cheyenne/article_193210e4-e029-11e6-b4f7-131f0601002f.html
100,"Chicago, IL",IL,250000,250000,250000,http://www.chicagotribune.com/news/ct-womens-march-chicago-0122-20170121-story.html
101,"Chico, CA",CA,1000,1900,3000,FB
102,"Chillicothe, OH",OH,1000,1000,1000,https://twitter.com/JeffTClinton/status/822999960765530113
103,"Christiansted, St. Croix",VI,350,440,550,"US Park Service, Fort Christianvaarn Historic Site, Christiansted"
104,"Cincinnati, OH",OH,5000,8150,12000,http://www.wlwt.com/article/thousands-fill-washington-park-as-part-of-nationwide-equal-rights-movement/8625720
105,"Clare, MI",MI,24,50,75,http://www.themorningsun.com/general-news/20170121/hope-strength-unity-topics-at-the-clare-peoples-rally
106,"Clarion, PA",PA,65,83,100,http://www.theclarionnews.com/news/local/article_1731f243-d54b-5d9c-89e5-4b8fc3196cc5.html
107,"Clemson, SC",SC,500,500,500,http://www.independentmail.com/story/news/local/south-carolina/2017/01/21/clemson-march-draws-500-support-womens-rights/96886286/
108,"Cleveland, OH",OH,15000,15000,15000,http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_on_cleveland_a_vo.html#incart_big-photo
109,"Cobb, CA",CA,2,2,2,FB
110,"Cobleskill, NY",NY,350,350,350,http://www.timesjournalonline.com/article.asp?id=101580
111,"Cody, WY",WY,400,445,500,http://www.kcwy13.com/content/news/Four-Hundred-Joined-the-Cody-Womens-March-Over-the-Weekend--411538625.html
112,"College Station, TX",TX,50,50,50,http://www.kbtx.com/content/news/College-Station-group-holds-womens-march--411430985.html
113,"Colorado Springs, CO",CO,7000,7000,7000,http://gazette.com/thousands-march-in-colorado-springs-in-protest-a-day-after-president-trumps-inauguration/article/1594846
114,"Columbia, MD",MD,100,113,125,FB
115,"Columbia, MO",MO,2000,2722,3604,http://www.columbiatribune.com/news/local/local-solidarity-march-brings-out-hundreds-in-opposition-to-trump/article_600dbb1a-2273-58c3-9799-ac4a96578a24.html
116,"Columbia, SC",SC,2000,2450,3000,http://www.heraldonline.com/latest-news/article127939199.html
117,"Columbus, OH",OH,2000,2450,3000,http://wksu.org/post/womens-march-columbus-draws-thousands-people#stream/0
118,"Columbus, OH",OH,200,200,200,http://thelantern.com/2017/01/students-stage-walkout-in-protest-against-president-trump/
119,"Compton, CA",CA,35,40,45,estimated headcount from FB photos provided via google form
120,"Concord, NH",NH,4000,4900,6000,https://twitter.com/LenStuart/status/822934229671673861
121,"Conover, WI",WI,1,1,1,FB
122,"Cooperstown, NY",NY,200,200,200,http://www.allotsego.com/women-allies-march-across-otsego-county/
123,"Coos Bay, OR",OR,200,200,200,http://theworldlink.com/news/local/hundreds-rally-at-women-s-march-in-downtown-coos-bay/article_997db7f0-b921-5aef-8e37-5945831c8400.html
124,"Copper Harbor, MI",MI,19,28,36,https://twitter.com/LlrCandy/status/823050874305921024
125,"Cordova, AK",AK,108,111,114,onsite eyewitness who did headcount
126,"Corpus Christi, TX",TX,24,24,24,http://www.kristv.com//story/34315427/corpus-christi-womens-march#.WIRF0H0kfZo.twitter
127,"Cortez, CO",CO,400,447,504,http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration
128,"Corvallis, OR",OR,100,100,100,FB
129,"Craftsbury, VT",VT,15,15,15,FB group photo w headcount
130,"Crested Butte, CO",CO,350,418,500,https://twitter.com/jcgreenfield/status/823228054864596993
131,"Crestone, CO",CO,1,1,1,FB
132,"Cruz Bay, St. John",VI,200,200,200,http://stjohnsource.com/content/news/local-news/2017/01/22/st-john-women-s-march-draws-200
133,"Crystal River, FL",FL,7,7,7,FB group photo w headcount
